No.,File Name,biophony,geophony,anthrophony,conditional factor,SEM class,Time,Site
14,Arizona_H1_U_T1_H1-NO-R3_20140606_080000,0,0,0,4,biophony,1-dawn,Arizona
18,Arizona_H1_U_T1_H1-NO-R3_20140901_060000,0,0,0,4,biophony,1-dawn,Arizona
1,Arizona_H1_U_T1_H1-NO-R3_20140313_060000,1,1,0,6,geophony,1-dawn,Arizona
2,Arizona_H1_U_T1_H1-NO-R3_20140316_080000,1,1,0,6,geophony,1-dawn,Arizona
3,Arizona_H1_U_T1_H1-NO-R3_20140320_063000,1,1,0,6,geophony,1-dawn,Arizona
4,Arizona_H1_U_T1_H1-NO-R3_20140421_080000,1,1,0,6,geophony,1-dawn,Arizona
5,Arizona_H1_U_T1_H1-NO-R3_20140422_060000,1,1,0,6,geophony,1-dawn,Arizona
6,Arizona_H1_U_T1_H1-NO-R3_20140427_060000,1,1,0,6,geophony,1-dawn,Arizona
7,Arizona_H1_U_T1_H1-NO-R3_20140430_060000,1,1,0,6,geophony,1-dawn,Arizona
8,Arizona_H1_U_T1_H1-NO-R3_20140430_080000,1,1,0,6,geophony,1-dawn,Arizona
10,Arizona_H1_U_T1_H1-NO-R3_20140502_063000,1,1,0,6,geophony,1-dawn,Arizona
11,Arizona_H1_U_T1_H1-NO-R3_20140506_070000,1,1,0,6,geophony,1-dawn,Arizona
12,Arizona_H1_U_T1_H1-NO-R3_20140603_060000,1,1,0,6,geophony,1-dawn,Arizona
13,Arizona_H1_U_T1_H1-NO-R3_20140603_063000,1,1,0,6,geophony,1-dawn,Arizona
15,Arizona_H1_U_T1_H1-NO-R3_20140608_060000,1,1,0,6,geophony,1-dawn,Arizona
17,Arizona_H1_U_T1_H1-NO-R3_20140612_063000,1,1,0,6,geophony,1-dawn,Arizona
19,Arizona_H1_U_T1_H1-NO-R3_20140905_070000,1,1,0,6,geophony,1-dawn,Arizona
20,Arizona_H1_U_T1_H1-NO-R3_20140914_080000,1,1,0,6,geophony,1-dawn,Arizona
21,Arizona_H1_U_T1_H1-NO-R3_20141003_060000,1,1,0,6,geophony,1-dawn,Arizona
22,Arizona_H1_U_T1_H1-NO-R3_20141003_063000,1,1,0,6,geophony,1-dawn,Arizona
9,Arizona_H1_U_T1_H1-NO-R3_20140502_060000,0,1,0,7,anthrophony,1-dawn,Arizona
