Soundfile,CentroidMean,SkewMean,SlopeMean,SpreadMean,VarianceMean,centroid,skew,spread,slope,var,centroid10,skew10,spread10,slope10,var10,centroid60,skew60,spread60,slope60,var60,centroid1,skew1,spread1,slope1,var1
737,5489.2,0.0088266,-2.66E-07,1.86E-10,3.61E+07,4270.07,0.00989111,1.66E-10,-3.25E-07,35886000,5429.3,0.013134,-2.69E-07,1.74E-10,3.48E+07,6116.1,0.0099222,-2.36E-07,1.51E-10,3.50E+07,4558.3,0.0135,-3.11E-07,1.68E-10,3.46E+07
3102,1725,0.22996,-4.47E-07,2.83E-10,1.50E+07,1058.46,0.241074,2.85E-10,-4.79E-07,11036200,2315.1,0.13865,-4.19E-07,3.07E-10,1.82E+07,2663.5,0.17143,-4.02E-07,6.49E-10,1.90E+07,2203.7,0.11231,-4.24E-07,2.68E-10,1.88E+07
3550,9448.5,-0.00063458,-7.50E-08,1.13E-10,3.63E+07,10106,-0.00143249,1.54E-10,-4.33E-08,30052600,9464.9,-0.00063455,-7.42E-08,1.12E-10,3.60E+07,9517.7,-0.00061707,-7.16E-08,9.86E-11,3.47E+07,9483.8,-0.00067068,-7.33E-08,1.14E-10,3.63E+07
5721,7480.5,0.010933,-1.70E-07,6.92E-11,1.44E+07,7331.88,0.0144395,4.80E-11,-1.77E-07,12668300,7460.9,0.011203,-1.71E-07,6.69E-11,1.42E+07,7350.6,0.011565,-1.76E-07,5.54E-11,1.38E+07,7436.6,0.011252,-1.72E-07,6.57E-11,1.42E+07
8822,9187.2,-0.00049777,-8.76E-08,1.25E-10,3.52E+07,9748.24,-0.00114079,1.07E-10,-6.05E-08,33236400,9138.8,-0.00044975,-8.99E-08,1.25E-10,3.54E+07,9059.4,-0.00038085,-9.37E-08,1.09E-10,3.54E+07,9216.8,-0.00049988,-8.61E-08,1.27E-10,3.51E+07
11862,8301.2,0.00051281,-1.30E-07,1.43E-10,3.40E+07,8255.84,0.000236938,1.44E-10,-1.32E-07,34495700,8401.1,0.00028471,-1.25E-07,1.39E-10,3.41E+07,7827.7,0.0011813,-1.53E-07,1.29E-10,3.53E+07,7533.8,0.0016501,-1.67E-07,1.54E-10,3.54E+07
12336,7878.7,0.00069014,-1.51E-07,1.61E-10,3.55E+07,8348.94,-8.85E-05,1.54E-10,-1.28E-07,32501100,7813,0.00089286,-1.54E-07,1.68E-10,3.52E+07,6288.4,0.0078294,-2.27E-07,1.74E-10,3.43E+07,8082.2,0.00047932,-1.41E-07,1.55E-10,3.49E+07
13540,6220.1,0.0037107,-2.31E-07,1.99E-10,3.74E+07,6619.57,0.00221299,2.19E-10,-2.11E-07,39148000,6142.7,0.0038357,-2.34E-07,1.94E-10,3.75E+07,6742.9,0.0024687,-2.05E-07,1.60E-10,3.72E+07,6452.7,0.0030632,-2.19E-07,1.89E-10,3.78E+07
14044,9075.3,-0.00042426,-9.29E-08,1.37E-10,3.26E+07,9126.38,-0.000506133,1.27E-10,-9.05E-08,32942200,8984.5,-0.00035506,-9.73E-08,1.34E-10,3.30E+07,8419.4,0.00065028,-1.25E-07,1.21E-10,3.42E+07,9067,-0.00040153,-9.34E-08,1.35E-10,3.26E+07
14483,2974.7,0.041244,-3.87E-07,2.30E-10,2.61E+07,1925.49,0.0543351,6.71E-10,-4.38E-07,19001900,3367.6,0.037141,-3.68E-07,2.27E-10,2.77E+07,3939.4,0.053249,-3.41E-07,2.03E-10,2.78E+07,3090.3,0.03355,-3.81E-07,2.38E-10,2.72E+07
15606,9777.7,-0.00077512,-5.91E-08,1.17E-10,2.95E+07,9786.01,-0.000560382,8.96E-11,-5.87E-08,28671600,9755.5,-0.00075242,-6.02E-08,1.14E-10,2.96E+07,9781.5,-0.00070171,-5.89E-08,9.67E-11,2.94E+07,9810.1,-0.0007732,-5.75E-08,1.15E-10,2.91E+07
16970,8970.4,-0.00033236,-9.80E-08,1.37E-10,3.15E+07,8941.31,-0.000566422,1.10E-10,-9.94E-08,34290900,8680.5,-7.75E-05,-1.12E-07,1.47E-10,3.25E+07,8481.6,9.39E-05,-1.22E-07,1.24E-10,3.33E+07,8955.7,-0.00031368,-9.87E-08,1.38E-10,3.13E+07
18012,8419.8,0.0014791,-1.25E-07,1.08E-10,2.93E+07,8444.94,0.00137238,1.16E-10,-1.23E-07,30644800,8410.9,0.0014187,-1.25E-07,1.09E-10,2.96E+07,8542.7,0.001189,-1.19E-07,9.73E-11,2.94E+07,8468.3,0.0015451,-1.22E-07,1.10E-10,2.89E+07
18040,8423.2,0.0015039,-1.24E-07,1.08E-10,2.91E+07,8352.1,0.000775499,1.11E-10,-1.28E-07,30423600,8414,0.0014274,-1.25E-07,1.08E-10,2.95E+07,8542.7,0.001189,-1.19E-07,9.73E-11,2.94E+07,8441.6,0.0013852,-1.23E-07,1.10E-10,2.93E+07
18913,4216.5,0.018485,-3.27E-07,2.00E-10,3.17E+07,5657.61,0.00529908,1.39E-10,-2.58E-07,39426800,4592.3,0.01445,-3.09E-07,2.13E-10,3.25E+07,6130.9,0.0068573,-2.35E-07,1.59E-10,3.60E+07,3985.4,0.018043,-3.38E-07,2.12E-10,3.13E+07
20069,9986.1,-0.00084778,-4.90E-08,1.09E-10,3.18E+07,10626.7,-0.00118216,9.79E-11,-1.82E-08,27528000,10050,-0.00089179,-4.60E-08,1.11E-10,3.14E+07,9975.3,-0.00080876,-4.96E-08,9.63E-11,3.10E+07,9898.7,-0.00079652,-5.33E-08,1.10E-10,3.23E+07
20565,9883.5,-0.00075484,-5.40E-08,1.05E-10,3.15E+07,9988.66,-0.000820104,8.97E-11,-4.89E-08,29992200,9880.2,-0.00077853,-5.41E-08,1.07E-10,3.16E+07,9807.5,-0.00071897,-5.77E-08,9.55E-11,3.12E+07,9851.3,-0.00074936,-5.55E-08,1.06E-10,3.18E+07
20696,10073,-0.0008728,-4.49E-08,1.12E-10,3.17E+07,10257.8,-0.0010532,1.20E-10,-3.59E-08,32399100,10032,-0.00084291,-4.68E-08,1.07E-10,3.19E+07,9978.8,-0.00077423,-4.94E-08,9.41E-11,3.13E+07,9994.8,-0.00086078,-4.86E-08,1.13E-10,3.20E+07
21932,10053,-0.00082879,-4.58E-08,1.05E-10,2.93E+07,10004,-0.000668709,1.30E-10,-4.82E-08,28806800,10059,-0.00084705,-4.55E-08,1.09E-10,2.94E+07,9999.1,-0.00079708,-4.84E-08,9.97E-11,2.97E+07,10025,-0.00080426,-4.72E-08,1.04E-10,2.93E+07
22201,9659.2,-0.00071635,-6.48E-08,1.50E-10,2.87E+07,9319.66,-0.000794491,1.45E-10,-8.12E-08,29625900,9696.7,-0.00073356,-6.30E-08,1.49E-10,2.84E+07,9711.4,-0.00064675,-6.23E-08,1.11E-10,2.84E+07,9674.2,-0.00075769,-6.41E-08,1.44E-10,2.86E+07
22674,9836.3,-0.0007482,-5.63E-08,1.14E-10,2.88E+07,9759.73,-0.00107924,1.37E-10,-6.00E-08,31025200,9835.5,-0.00075966,-5.63E-08,1.17E-10,2.89E+07,9812.2,-0.0006863,-5.74E-08,9.75E-11,2.89E+07,9779.2,-0.00076023,-5.90E-08,1.19E-10,2.92E+07
23477,9659.4,-0.00046165,-6.48E-08,1.15E-10,2.85E+07,9893.33,-0.000456167,1.44E-10,-5.35E-08,29919200,9617.7,-0.00042112,-6.68E-08,1.14E-10,2.86E+07,9590.1,-0.000335,-6.81E-08,9.54E-11,2.88E+07,9710.2,-0.00049511,-6.23E-08,1.14E-10,2.85E+07
23627,9624.2,-0.00043229,-6.65E-08,1.10E-10,2.86E+07,9801.25,-0.000464865,9.65E-11,-5.80E-08,27666400,9623.8,-0.00044412,-6.65E-08,1.11E-10,2.87E+07,9590.1,-0.000335,-6.81E-08,9.54E-11,2.88E+07,9640.9,-0.00043641,-6.57E-08,1.07E-10,2.87E+07
24010,9665.4,-0.00055135,-6.45E-08,1.17E-10,2.96E+07,9564.48,-0.000648366,1.06E-10,-6.94E-08,30159400,9656.1,-0.00051583,-6.50E-08,1.16E-10,2.95E+07,9656,-0.00045978,-6.50E-08,9.93E-11,2.96E+07,9705,-0.00064084,-6.26E-08,1.20E-10,2.95E+07
24179,7867.6,0.003742,-1.51E-07,1.52E-10,2.80E+07,7938.1,0.00309466,1.99E-10,-1.48E-07,28070300,7737.9,0.0042788,-1.57E-07,1.44E-10,2.73E+07,7733.5,0.0040784,-1.58E-07,1.20E-10,2.73E+07,7906.2,0.0036056,-1.49E-07,1.66E-10,2.82E+07
24557,7832.3,0.0037088,-1.53E-07,1.38E-10,2.77E+07,7602.05,0.00390488,7.83E-11,-1.64E-07,26248400,7749.4,0.004161,-1.57E-07,1.34E-10,2.73E+07,7733.5,0.0040784,-1.58E-07,1.20E-10,2.73E+07,7952.5,0.0030659,-1.47E-07,1.43E-10,2.84E+07
25570,8281.1,0.0014571,-1.31E-07,2.03E-10,3.29E+07,8175.83,0.00161953,1.65E-10,-1.36E-07,32346100,8350.2,0.0013358,-1.28E-07,2.00E-10,3.27E+07,8436.7,0.0010513,-1.24E-07,1.80E-10,3.28E+07,8258.7,0.0015273,-1.32E-07,2.13E-10,3.29E+07
35370,0,0.011322,-2.40E-07,1.66E-10,3.32E+07,0,0.0159852,2.14E-10,-2.60E-07,32395600,0,0.011228,-2.38E-07,1.90E-10,3.34E+07,0,0.04783,-2.40E-07,2.80E-10,3.22E+07,0,0.010828,-2.38E-07,1.71E-10,3.36E+07
37603,7474.3,0.0022914,-1.70E-07,8.28E-11,3.49E+07,7057.07,0.00243011,4.57E-11,-1.90E-07,36778300,7475,0.0018734,-1.70E-07,6.12E-11,3.49E+07,7901,0.0010252,-1.50E-07,3.41E-11,3.49E+07,7765,0.0019692,-1.56E-07,7.84E-11,3.51E+07
38294,7878.3,0.0014117,-1.51E-07,2.15E-11,4.46E+07,7747.89,0.00107081,1.39E-11,-1.57E-07,42513900,7648.2,0.0014353,-1.62E-07,1.69E-11,4.46E+07,7337,0.0012382,-1.77E-07,8.77E-12,4.46E+07,7925.6,0.0013237,-1.48E-07,1.99E-11,4.46E+07
38923,8435.8,0.00086158,-1.24E-07,9.59E-11,2.33E+07,8606.46,0.000387794,5.13E-11,-1.16E-07,20373100,8429.3,0.00089057,-1.24E-07,8.52E-11,2.39E+07,8217.4,0.00067556,-1.34E-07,4.58E-11,2.39E+07,8472.2,0.00083471,-1.22E-07,1.08E-10,2.32E+07
